run_dir,first_round,final_round,first_val_rmse,final_val_rmse,best_val_rmse,best_val_rmse_round,delta_val_rmse_first_to_final,val_rmse@0,val_rmse@5,val_rmse@10,val_rmse@15,val_rmse@20,val_rmse@25,val_rmse@30,final_val_mae,final_val_accuracy,final_train_loss,final_total_bytes,client_update.steps,client_update.lr
2026-05-25_14-03-52_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_1__client_update_lr_0p01__seed_42,0,30,1.0922261476516724,1.0558096170425415,1.0558096170425415,30,0.03641653060913086,1.0922261476516724,1.0826187133789062,1.067618489265442,1.073567509651184,1.064957857131958,1.059459209442139,1.0558096170425415,0.870417594909668,0.3309313356876373,2.197731485366821,366897000.0,1,0.01
2026-05-25_14-10-18_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_1__client_update_lr_0p01__seed_43,0,30,1.092220425605774,1.055497169494629,1.055497169494629,30,0.03672325611114502,1.092220425605774,1.0823487043380735,1.0679115056991575,1.0737749338150024,1.0647459030151367,1.0592979192733765,1.055497169494629,0.8702226281166077,0.3321549892425537,2.162005319595337,366897000.0,1,0.01
2026-05-25_14-16-39_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_1__client_update_lr_0p01__seed_44,0,30,1.092172622680664,1.056039333343506,1.056039333343506,30,0.03613328933715798,1.092172622680664,1.0827711820602417,1.068310022354126,1.0741620063781738,1.0649999380111694,1.0597869157791138,1.056039333343506,0.8706825375556946,0.3297076821327209,2.0749453496932984,366897000.0,1,0.01
2026-05-25_14-04-13_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_1__client_update_lr_0p03__seed_42,0,30,1.0922261476516724,1.0286530256271362,1.0286530256271362,30,0.06357312202453613,1.0922261476516724,1.073846459388733,1.053223729133606,1.0541776418685913,1.042879343032837,1.0336834192276,1.0286530256271362,0.8410122394561768,0.3505098521709442,1.6414734840393066,366897000.0,1,0.03
2026-05-25_14-10-34_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_1__client_update_lr_0p03__seed_43,0,30,1.092220425605774,1.0284708738327026,1.0284708738327026,30,0.06374955177307129,1.092220425605774,1.0735750198364258,1.053721308708191,1.054717779159546,1.0426509380340576,1.0335288047790527,1.0284708738327026,0.8408312201499939,0.352141410112381,1.5926599311828613,366897000.0,1,0.03
2026-05-25_14-16-55_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_1__client_update_lr_0p03__seed_44,0,30,1.092172622680664,1.0290758609771729,1.0290758609771729,30,0.06309676170349121,1.092172622680664,1.0742172002792358,1.0542994737625122,1.055047869682312,1.0430291891098022,1.0342204570770264,1.0290758609771729,0.8413969278335571,0.3505098521709442,1.5314447569847107,366897000.0,1,0.03
2026-05-25_14-04-31_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_1__client_update_lr_0p05__seed_42,0,30,1.0922261476516724,1.0160709619522097,1.0160709619522097,30,0.07615518569946267,1.0922261476516724,1.065972089767456,1.0419511795043943,1.040851593017578,1.0297067165374756,1.0199341773986816,1.0160709619522097,0.8260388970375061,0.3612508475780487,1.37420396566391,366897000.0,1,0.05
2026-05-25_14-10-51_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_1__client_update_lr_0p05__seed_43,0,30,1.092220425605774,1.0159391164779663,1.0159391164779663,30,0.07628130912780762,1.092220425605774,1.065699338912964,1.042605757713318,1.0415765047073364,1.029442310333252,1.019771933555603,1.0159391164779663,0.8259512782096863,0.360163152217865,1.3155033826828002,366897000.0,1,0.05
2026-05-25_14-17-12_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_1__client_update_lr_0p05__seed_44,0,30,1.092172622680664,1.0164477825164795,1.0164477825164795,30,0.07572484016418457,1.092172622680664,1.06651771068573,1.0432732105255127,1.0418148040771484,1.0298327207565308,1.0204814672470093,1.0164477825164795,0.8265618085861206,0.3602991104125976,1.2692479586601255,366897000.0,1,0.05
2026-05-25_14-04-49_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_1__client_update_lr_0p1__seed_42,0,30,1.0922261476516724,1.007014274597168,1.007014274597168,30,0.0852118730545044,1.0922261476516724,1.0497148036956787,1.0236148834228516,1.023447036743164,1.016026735305786,1.007683038711548,1.007014274597168,0.8100626468658447,0.3797416687011719,1.164917813539505,366897000.0,1,0.1
