run_dir,first_round,final_round,first_val_rmse,final_val_rmse,best_val_rmse,best_val_rmse_round,delta_val_rmse_first_to_final,val_rmse@0,val_rmse@5,val_rmse@10,val_rmse@15,val_rmse@20,val_rmse@25,val_rmse@30,final_val_mae,final_val_accuracy,final_train_loss,final_total_bytes,compression.method
2026-05-25_14-49-51_sweep_quantization_eval10_strong_update_v1__compression_method_fp16__seed_42,0,30,1.0922261476516724,0.992085576057434,0.992085576057434,30,0.10014057159423839,1.0922261476516724,1.005898118019104,1.001054286956787,1.0068594217300415,1.0024919509887695,0.9931618571281432,0.992085576057434,0.7910693287849426,0.3938817083835602,0.7776519620418548,183448500.0,fp16
2026-05-25_14-51-41_sweep_quantization_eval10_strong_update_v1__compression_method_fp16__seed_43,0,30,1.092220425605774,0.9919292330741882,0.9919292330741882,30,0.1002911925315857,1.092220425605774,1.005635380744934,1.0011993646621704,1.0068635940551758,1.002799153327942,0.9934080839157104,0.9919292330741882,0.7914910316467285,0.3934738337993622,0.7932019472122193,183448500.0,fp16
2026-05-25_14-53-30_sweep_quantization_eval10_strong_update_v1__compression_method_fp16__seed_44,0,30,1.092172622680664,0.9908437728881836,0.9908437728881836,30,0.10132884979248047,1.092172622680664,1.0064865350723269,1.001460313796997,1.0068503618240356,1.0022685527801514,0.9928100109100342,0.9908437728881836,0.7909689545631409,0.3944255709648132,0.7947377043962479,183448500.0,fp16
2026-05-25_14-50-35_sweep_quantization_eval10_strong_update_v1__compression_method_int4__seed_42,0,30,1.0922261476516724,0.9920894503593444,0.9920894503593444,30,0.10013669729232799,1.0922261476516724,1.0058989524841309,1.0010287761688232,1.0068577527999878,1.0024734735488892,0.9931578636169434,0.9920894503593444,0.7910798192024231,0.3934738337993622,0.7776443415880203,45862500.0,int4
2026-05-25_14-52-25_sweep_quantization_eval10_strong_update_v1__compression_method_int4__seed_43,0,30,1.092220425605774,0.9918909668922424,0.9918909668922424,30,0.1003294587135315,1.092220425605774,1.0056217908859253,1.0011858940124512,1.0068316459655762,1.002780795097351,0.9933694005012512,0.9918909668922424,0.7914543747901917,0.3937457501888275,0.7931722533702851,45862500.0,int4
2026-05-25_14-54-13_sweep_quantization_eval10_strong_update_v1__compression_method_int4__seed_44,0,30,1.092172622680664,0.9907997250556946,0.9907997250556946,30,0.10137289762496948,1.092172622680664,1.006485104560852,1.0014621019363403,1.0068392753601074,1.0021802186965942,0.9927653670310974,0.9907997250556946,0.7909279465675354,0.3941536247730255,0.7946453368663788,45862500.0,int4
2026-05-25_14-50-14_sweep_quantization_eval10_strong_update_v1__compression_method_int8__seed_42,0,30,1.0922261476516724,0.9920853972434998,0.9920853972434998,30,0.10014075040817261,1.0922261476516724,1.005898118019104,1.0010545253753662,1.006859540939331,1.002490520477295,0.9931607842445374,0.9920853972434998,0.7910688519477844,0.3938817083835602,0.7776507806777954,91724250.0,int8
2026-05-25_14-52-03_sweep_quantization_eval10_strong_update_v1__compression_method_int8__seed_43,0,30,1.092220425605774,0.9919282793998718,0.9919282793998718,30,0.1002921462059021,1.092220425605774,1.005635142326355,1.0011980533599854,1.0068612098693848,1.002798080444336,0.9934057593345642,0.9919282793998718,0.7914905548095703,0.3934738337993622,0.7931962943077088,91724250.0,int8
2026-05-25_14-53-51_sweep_quantization_eval10_strong_update_v1__compression_method_int8__seed_44,0,30,1.092172622680664,0.990843951702118,0.990843951702118,30,0.10132867097854603,1.092172622680664,1.006486177444458,1.0014592409133911,1.0068498849868774,1.0022677183151243,0.9928097128868104,0.990843951702118,0.7909696698188782,0.3944255709648132,0.7947389680147171,91724250.0,int8
2026-05-25_14-49-28_sweep_quantization_eval10_strong_update_v1__compression_method_none__seed_42,0,30,1.0922261476516724,0.9920856356620787,0.9920856356620787,30,0.10014051198959362,1.0922261476516724,1.005898118019104,1.0010541677474976,1.0068594217300415,1.0024919509887695,0.993161916732788,0.9920856356620787,0.791068971157074,0.3938817083835602,0.7776521921157837,366897000.0,none
