run_dir,split,rating_count_group,n_clients,total_query_examples,mean_num_examples,mean_rmse,median_rmse,pooled_rmse,mean_mae,weighted_mae,mean_accuracy,weighted_accuracy,evaluation.reconstruction_steps,client_update.steps,client_update.lr
2026-05-26_15-46-46_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_0__seed_42,test,<=50,177,2882,32.51412429378531,1.0538555326434853,1.0360621213912964,1.0840203674423743,0.8912813609602761,0.8935761515627628,0.33998511676902826,0.3400416425652259,0,10,0.2
2026-05-26_15-46-46_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_0__seed_42,test,51-100,137,4931,71.94890510948905,1.0548762135262038,1.013644814491272,1.0750634018223884,0.8856855678732378,0.884577352904906,0.3484111591956041,0.3482052347232038,0,10,0.2
2026-05-26_15-46-46_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_0__seed_42,test,101-200,121,8203,135.63636363636363,1.073792567430449,1.0259608030319214,1.1080437021622767,0.8959086867403393,0.8967565087433285,0.3552015797997063,0.3541387306088288,0,10,0.2
2026-05-26_15-46-46_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_0__seed_42,test,201-500,132,20504,310.57575757575756,1.0612507629575152,1.0221686959266663,1.089121979326341,0.8783583823930133,0.8816575652444055,0.3608999792486429,0.3588080385807426,0,10,0.2
2026-05-26_15-46-46_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_0__seed_42,test,>500,37,14906,805.7297297297297,1.1595987097637073,1.106409788131714,1.2033359027483477,0.9596811500755517,0.9722876293090115,0.32682960480451584,0.3194686715072127,0,10,0.2
2026-05-26_15-47-10_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_1__seed_42,test,<=50,177,2882,32.51412429378531,1.0313195838766582,1.0112813711166382,1.0582973683554884,0.8691718734927096,0.8701998949526583,0.34182169427305964,0.3421235300786664,1,10,0.2
2026-05-26_15-47-10_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_1__seed_42,test,51-100,137,4931,71.94890510948905,1.0315631645439316,0.9863500595092772,1.052589221736942,0.8594057821009281,0.859209967092287,0.3506910434930864,0.3504360194027702,1,10,0.2
2026-05-26_15-47-10_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_1__seed_42,test,101-200,121,8203,135.63636363636363,1.0439091186878109,1.0013844966888428,1.0700664019600068,0.8666290098970587,0.8677931187444382,0.35828717721025805,0.35706448928520806,1,10,0.2
2026-05-26_15-47-10_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_1__seed_42,test,201-500,132,20504,310.57575757575756,1.0334065980983502,1.0138300657272339,1.057267261300407,0.8557551367716356,0.8589897319947748,0.3659436054753535,0.3645630133997066,1,10,0.2
2026-05-26_15-47-10_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_1__seed_42,test,>500,37,14906,805.7297297297297,1.1242462783246427,1.1033220291137695,1.158987299218262,0.9352966547012329,0.945482471353749,0.3384291751159204,0.333624045135758,1,10,0.2
2026-05-26_15-47-31_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_2__seed_42,test,<=50,177,2882,32.51412429378531,1.0179596115640328,0.9872793555259703,1.0435631897703133,0.8542194964185272,0.8541286127030394,0.3447741475482445,0.3455933424347519,2,10,0.2
2026-05-26_15-47-31_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_2__seed_42,test,51-100,137,4931,71.94890510948905,1.0165828875381582,0.9773850440979004,1.0388320152183705,0.8396858155292316,0.8401586095717682,0.3549813611337738,0.354086394764557,2,10,0.2
2026-05-26_15-47-31_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_2__seed_42,test,101-200,121,8203,135.63636363636363,1.0235021488725646,0.9909762740135192,1.0452312676014845,0.8441014417932053,0.845494434504513,0.3660840920734504,0.36474460643545514,2,10,0.2
